Age,Education_Level,Years_of_Experience,Industry,Job_Role,Company_Size,Job_Level,Routine_Task_Percentage,Creativity_Requirement,Human_Interaction_Level,AI_Adoption_Level,Number_of_AI_Tools_Used,AI_Usage_Hours_Per_Week,Tasks_Automated_Percentage,AI_Training_Hours,Layoff_Risk
29.0,PhD,0.0,Finance,Accountant,Medium,Entry,37.0,56.0,71.0,Low,0.0,5.0,17.0,8.0,Medium
39.0,Master's,18.0,Logistics,Dispatcher,Small,Mid,53.0,26.0,78.0,Medium,3.0,10.0,39.0,5.0,Medium
32.0,Bachelor's,4.0,Healthcare,Medical Assistant,Medium,Entry,42.0,34.0,89.0,Low,0.0,4.0,28.0,5.0,Medium
22.0,High School,1.0,Healthcare,Health Analyst,Large,Senior,91.0,0.0,55.0,Medium,4.0,6.0,71.0,16.0,High
45.0,Master's,17.0,Manufacturing,Operator,Medium,Mid,84.0,0.0,39.0,Medium,2.0,14.0,58.0,28.0,High
54.0,Bachelor's,12.0,Healthcare,Medical Assistant,Medium,Mid,19.0,97.0,50.0,Low,2.0,2.0,11.0,9.0,Low
42.0,Bachelor's,0.0,Logistics,Warehouse Manager,Medium,Mid,89.0,20.0,59.0,High,5.0,29.0,84.0,27.0,High
56.0,High School,7.0,Finance,Financial Analyst,Large,Mid,35.0,74.0,56.0,Low,2.0,2.0,32.0,8.0,Medium
21.0,Bachelor's,0.0,IT,Data Analyst,Large,Entry,37.0,61.0,52.0,Low,1.0,0.0,29.0,0.0,Medium
58.0,Bachelor's,0.0,IT,Software Engineer,Medium,Entry,10.0,85.0,90.0,Low,0.0,2.0,5.0,1.0,Low
27.0,Bachelor's,6.0,Manufacturing,Operator,Medium,Entry,22.0,71.0,87.0,Low,0.0,2.0,18.0,4.0,Medium
22.0,High School,1.0,Finance,Accountant,Medium,Mid,29.0,57.0,91.0,Low,1.0,3.0,25.0,6.0,Medium
29.0,Bachelor's,6.0,Logistics,Warehouse Manager,Small,Mid,67.0,30.0,78.0,Medium,3.0,9.0,53.0,10.0,High
37.0,Bachelor's,6.0,IT,Data Analyst,Medium,Mid,33.0,53.0,77.0,Low,1.0,5.0,24.0,9.0,Low
57.0,Bachelor's,0.0,Education,Research Assistant,Medium,Mid,86.0,27.0,30.0,Medium,5.0,5.0,63.0,5.0,High
51.0,High School,21.0,IT,Software Engineer,Medium,Entry,51.0,53.0,21.0,Medium,2.0,7.0,29.0,26.0,Medium
52.0,Master's,3.0,Manufacturing,Production Supervisor,Large,Senior,67.0,27.0,23.0,Medium,3.0,11.0,46.0,8.0,Medium
55.0,High School,1.0,Education,Academic Coordinator,Medium,Entry,28.0,57.0,91.0,Low,2.0,1.0,26.0,8.0,Medium
26.0,Master's,5.0,Healthcare,Nurse,Medium,Entry,87.0,0.0,72.0,Medium,5.0,11.0,52.0,5.0,High
41.0,PhD,5.0,Manufacturing,Production Supervisor,Medium,Mid,21.0,84.0,40.0,Low,1.0,5.0,14.0,3.0,Low
50.0,Bachelor's,12.0,Retail,Sales Associate,Medium,Entry,23.0,76.0,59.0,Low,1.0,2.0,21.0,4.0,Medium
52.0,Bachelor's,11.0,Finance,Financial Analyst,Medium,Senior,71.0,39.0,90.0,Medium,5.0,6.0,39.0,26.0,Low
29.0,Bachelor's,6.0,Retail,Store Manager,Medium,Mid,50.0,51.0,89.0,Low,1.0,5.0,27.0,6.0,Medium
40.0,Bachelor's,8.0,Logistics,Warehouse Manager,Small,Mid,20.0,71.0,45.0,Low,1.0,0.0,15.0,6.0,Low
40.0,Master's,0.0,Retail,Inventory Analyst,Medium,Entry,43.0,69.0,20.0,Medium,5.0,9.0,26.0,15.0,Medium
22.0,Master's,1.0,Telecom,Support Specialist,Large,Mid,15.0,100.0,30.0,Low,1.0,1.0,10.0,4.0,Low
38.0,Bachelor's,5.0,Telecom,Network Engineer,Medium,Entry,13.0,91.0,94.0,Low,0.0,2.0,8.0,7.0,Low
27.0,Master's,6.0,Manufacturing,Quality Engineer,Small,Mid,21.0,83.0,35.0,Low,1.0,5.0,10.0,0.0,Low
50.0,High School,6.0,Manufacturing,Production Supervisor,Large,Entry,11.0,90.0,45.0,Low,0.0,5.0,8.0,6.0,Medium
39.0,Bachelor's,7.0,Telecom,Operations Analyst,Large,Mid,65.0,28.0,51.0,Low,2.0,4.0,37.0,0.0,Medium
44.0,Bachelor's,6.0,Education,Research Assistant,Large,Senior,22.0,65.0,74.0,Low,2.0,4.0,14.0,2.0,Low
27.0,Bachelor's,6.0,Healthcare,Health Analyst,Small,Senior,63.0,59.0,61.0,Low,1.0,1.0,57.0,5.0,Low
33.0,Bachelor's,10.0,Retail,Sales Associate,Small,Mid,36.0,71.0,41.0,Low,0.0,4.0,26.0,2.0,Medium
27.0,Master's,4.0,Healthcare,Medical Assistant,Large,Entry,65.0,33.0,25.0,Medium,4.0,13.0,51.0,9.0,High
45.0,Bachelor's,18.0,Retail,Sales Associate,Small,Entry,56.0,31.0,76.0,Low,0.0,5.0,28.0,2.0,Medium
50.0,Master's,12.0,Manufacturing,Production Supervisor,Medium,Mid,66.0,46.0,84.0,Medium,4.0,6.0,33.0,21.0,Medium
42.0,Bachelor's,12.0,Manufacturing,Operator,Medium,Entry,38.0,62.0,56.0,Low,0.0,2.0,29.0,7.0,Medium
54.0,Bachelor's,4.0,Logistics,Dispatcher,Medium,Mid,55.0,33.0,34.0,Low,2.0,4.0,45.0,4.0,High
59.0,Bachelor's,11.0,Healthcare,Medical Assistant,Medium,Mid,69.0,34.0,65.0,Medium,3.0,13.0,38.0,15.0,Medium
32.0,Bachelor's,7.0,Telecom,Network Engineer,Medium,Senior,25.0,62.0,54.0,Low,2.0,2.0,13.0,0.0,Low
24.0,Master's,3.0,Healthcare,Health Analyst,Large,Entry,72.0,37.0,78.0,Medium,3.0,6.0,50.0,23.0,Medium
33.0,Master's,6.0,Logistics,Dispatcher,Large,Mid,46.0,49.0,42.0,Low,1.0,1.0,23.0,6.0,Medium
40.0,Bachelor's,13.0,Education,Research Assistant,Medium,Mid,47.0,45.0,48.0,Medium,2.0,7.0,38.0,17.0,Low
31.0,Bachelor's,1.0,Education,Academic Coordinator,Large,Mid,10.0,92.0,42.0,Low,2.0,1.0,5.0,9.0,Low
37.0,High School,11.0,Education,Academic Coordinator,Large,Entry,22.0,84.0,45.0,Low,0.0,3.0,16.0,8.0,Low
56.0,High School,4.0,Logistics,Warehouse Manager,Medium,Entry,22.0,68.0,33.0,Low,2.0,4.0,12.0,8.0,Medium
38.0,PhD,16.0,Telecom,Support Specialist,Medium,Mid,39.0,64.0,91.0,Low,0.0,3.0,37.0,8.0,Low
54.0,Bachelor's,2.0,IT,ML Engineer,Medium,Mid,38.0,58.0,88.0,Low,2.0,4.0,22.0,1.0,Low
22.0,Master's,0.0,IT,Data Analyst,Large,Entry,55.0,56.0,38.0,Medium,2.0,7.0,28.0,5.0,Medium
44.0,Bachelor's,1.0,Finance,Accountant,Large,Mid,58.0,32.0,94.0,Low,0.0,5.0,33.0,0.0,Medium
47.0,Bachelor's,0.0,Manufacturing,Production Supervisor,Large,Mid,81.0,13.0,91.0,Medium,2.0,8.0,67.0,16.0,High
27.0,Bachelor's,6.0,Education,Teacher,Small,Mid,68.0,23.0,84.0,Medium,4.0,13.0,39.0,12.0,Medium
28.0,Bachelor's,7.0,Manufacturing,Production Supervisor,Large,Mid,40.0,64.0,88.0,Low,0.0,1.0,22.0,3.0,Medium
44.0,Bachelor's,10.0,Telecom,Network Engineer,Large,Mid,23.0,84.0,68.0,Low,2.0,3.0,13.0,9.0,Low
35.0,Bachelor's,4.0,Telecom,Operations Analyst,Medium,Entry,17.0,88.0,73.0,Low,0.0,5.0,16.0,1.0,Low
24.0,Master's,3.0,IT,Data Analyst,Large,Mid,33.0,68.0,62.0,Low,1.0,0.0,19.0,1.0,Low
38.0,Master's,17.0,Logistics,Supply Chain Analyst,Small,Entry,47.0,25.0,74.0,Medium,2.0,6.0,38.0,14.0,Medium
36.0,Bachelor's,7.0,Finance,Accountant,Small,Mid,28.0,64.0,31.0,Low,0.0,3.0,16.0,2.0,Low
52.0,Bachelor's,6.0,Manufacturing,Operator,Small,Entry,36.0,50.0,34.0,Low,0.0,5.0,34.0,7.0,High
34.0,High School,6.0,Finance,Financial Analyst,Medium,Mid,48.0,47.0,79.0,Low,2.0,2.0,40.0,2.0,Medium
46.0,Bachelor's,11.0,Finance,Financial Analyst,Medium,Entry,93.0,24.0,57.0,Medium,2.0,14.0,91.0,8.0,High
32.0,Bachelor's,1.0,Logistics,Dispatcher,Medium,Entry,16.0,77.0,77.0,Low,2.0,3.0,9.0,5.0,Medium
28.0,High School,7.0,Education,Teacher,Small,Mid,75.0,7.0,67.0,High,9.0,25.0,46.0,36.0,Medium
25.0,Bachelor's,4.0,Finance,Auditor,Large,Entry,38.0,47.0,67.0,Low,2.0,0.0,24.0,4.0,Medium
31.0,Master's,2.0,IT,ML Engineer,Small,Senior,79.0,3.0,57.0,High,7.0,18.0,55.0,41.0,Medium
21.0,Bachelor's,0.0,Retail,Inventory Analyst,Small,Entry,66.0,30.0,76.0,Medium,3.0,11.0,36.0,8.0,High
31.0,Bachelor's,8.0,Healthcare,Health Analyst,Large,Mid,84.0,26.0,20.0,Medium,2.0,8.0,61.0,10.0,High
37.0,Master's,8.0,Logistics,Supply Chain Analyst,Large,Mid,35.0,60.0,81.0,Low,0.0,3.0,21.0,9.0,Low
22.0,Master's,1.0,Retail,Inventory Analyst,Large,Senior,46.0,46.0,85.0,Low,1.0,3.0,25.0,7.0,Low
21.0,Bachelor's,0.0,Healthcare,Medical Assistant,Large,Entry,42.0,35.0,62.0,Low,1.0,3.0,32.0,0.0,Medium
47.0,High School,3.0,Manufacturing,Operator,Small,Mid,21.0,70.0,93.0,Low,0.0,2.0,18.0,0.0,Low
33.0,Master's,6.0,IT,Data Analyst,Medium,Entry,37.0,49.0,56.0,Low,2.0,4.0,17.0,7.0,Low
55.0,Bachelor's,14.0,Retail,Store Manager,Medium,Entry,69.0,31.0,96.0,Medium,5.0,11.0,62.0,9.0,High
54.0,Bachelor's,0.0,Finance,Accountant,Large,Mid,61.0,37.0,32.0,Medium,4.0,7.0,58.0,26.0,High
22.0,Bachelor's,1.0,Healthcare,Health Analyst,Large,Mid,56.0,32.0,36.0,Low,2.0,0.0,33.0,8.0,Medium
53.0,Bachelor's,9.0,Finance,Auditor,Small,Entry,54.0,47.0,26.0,Medium,4.0,6.0,47.0,28.0,High
32.0,High School,7.0,Finance,Accountant,Small,Entry,39.0,70.0,21.0,Medium,4.0,14.0,27.0,19.0,Medium
21.0,Bachelor's,0.0,Retail,Store Manager,Large,Mid,89.0,4.0,70.0,Medium,2.0,11.0,54.0,16.0,High
35.0,Master's,14.0,Logistics,Supply Chain Analyst,Small,Mid,43.0,50.0,84.0,Low,1.0,1.0,24.0,6.0,Low
29.0,Master's,8.0,Logistics,Warehouse Manager,Small,Mid,51.0,46.0,91.0,Low,2.0,2.0,48.0,3.0,Medium
31.0,Master's,6.0,IT,Software Engineer,Small,Mid,46.0,44.0,52.0,Medium,2.0,8.0,37.0,24.0,Low
30.0,Bachelor's,9.0,Manufacturing,Quality Engineer,Small,Entry,74.0,21.0,49.0,Medium,5.0,7.0,64.0,24.0,High
47.0,Master's,7.0,Logistics,Supply Chain Analyst,Medium,Entry,38.0,49.0,70.0,Low,0.0,4.0,19.0,3.0,Medium
46.0,Bachelor's,12.0,Retail,Inventory Analyst,Large,Entry,13.0,85.0,53.0,Low,1.0,4.0,9.0,0.0,Low
44.0,Master's,1.0,Manufacturing,Operator,Small,Mid,80.0,0.0,94.0,Medium,2.0,12.0,71.0,19.0,High
40.0,Bachelor's,2.0,Logistics,Dispatcher,Medium,Entry,55.0,48.0,71.0,Medium,4.0,12.0,36.0,27.0,High
53.0,Bachelor's,18.0,Finance,Financial Analyst,Large,Mid,22.0,52.0,69.0,Low,0.0,0.0,17.0,3.0,Low
57.0,Master's,11.0,Healthcare,Health Analyst,Medium,Senior,79.0,19.0,48.0,Medium,5.0,11.0,42.0,7.0,Low
40.0,Bachelor's,2.0,IT,Software Engineer,Medium,Entry,42.0,49.0,80.0,Low,1.0,0.0,26.0,6.0,Medium
21.0,Bachelor's,0.0,Healthcare,Health Analyst,Small,Mid,71.0,40.0,64.0,High,6.0,26.0,66.0,64.0,Medium
33.0,High School,8.0,Retail,Store Manager,Small,Entry,23.0,64.0,66.0,Low,0.0,0.0,15.0,6.0,Medium
57.0,Bachelor's,1.0,Retail,Sales Associate,Small,Entry,56.0,49.0,47.0,Low,0.0,3.0,52.0,7.0,High
53.0,Bachelor's,6.0,Logistics,Warehouse Manager,Small,Entry,33.0,70.0,73.0,Low,0.0,4.0,17.0,2.0,Medium
31.0,Master's,6.0,Manufacturing,Operator,Large,Entry,55.0,26.0,70.0,Low,2.0,5.0,47.0,9.0,High
51.0,Master's,3.0,Finance,Auditor,Medium,Mid,43.0,60.0,58.0,Medium,3.0,10.0,29.0,27.0,Low
24.0,Bachelor's,3.0,Logistics,Warehouse Manager,Large,Entry,79.0,27.0,67.0,Medium,2.0,14.0,69.0,8.0,High
47.0,High School,3.0,Manufacturing,Quality Engineer,Medium,Senior,65.0,24.0,29.0,Medium,2.0,11.0,29.0,18.0,Medium
38.0,Master's,5.0,Telecom,Operations Analyst,Small,Mid,71.0,15.0,86.0,Medium,2.0,8.0,57.0,26.0,Medium
47.0,Master's,7.0,Finance,Financial Analyst,Medium,Entry,24.0,70.0,35.0,Low,2.0,0.0,12.0,9.0,Low
57.0,Bachelor's,0.0,Telecom,Support Specialist,Small,Entry,17.0,78.0,75.0,Low,0.0,1.0,16.0,3.0,Medium
54.0,Master's,3.0,Healthcare,Nurse,Medium,Mid,70.0,41.0,84.0,Medium,3.0,9.0,66.0,14.0,Medium
58.0,Master's,9.0,Manufacturing,Quality Engineer,Medium,Mid,71.0,30.0,53.0,Low,1.0,3.0,54.0,1.0,High
55.0,PhD,17.0,Finance,Auditor,Small,Entry,63.0,49.0,28.0,Medium,4.0,12.0,38.0,8.0,Medium
43.0,Master's,8.0,Telecom,Network Engineer,Small,Mid,28.0,80.0,26.0,Low,0.0,2.0,23.0,2.0,Low
50.0,High School,7.0,Manufacturing,Production Supervisor,Small,Mid,28.0,58.0,31.0,Low,1.0,1.0,22.0,1.0,Medium
21.0,Bachelor's,0.0,Logistics,Supply Chain Analyst,Small,Mid,24.0,84.0,56.0,Low,1.0,2.0,21.0,6.0,Medium
55.0,Bachelor's,0.0,Education,Teacher,Medium,Mid,75.0,29.0,66.0,Medium,4.0,10.0,63.0,11.0,High
53.0,Bachelor's,8.0,Logistics,Dispatcher,Large,Entry,18.0,82.0,61.0,Low,2.0,2.0,10.0,7.0,Low
32.0,Bachelor's,11.0,Logistics,Warehouse Manager,Medium,Senior,64.0,52.0,50.0,Medium,3.0,6.0,44.0,28.0,Medium
23.0,High School,2.0,IT,Software Engineer,Medium,Mid,67.0,31.0,80.0,Medium,3.0,9.0,48.0,25.0,High
39.0,Bachelor's,9.0,Education,Research Assistant,Medium,Entry,24.0,78.0,93.0,Low,1.0,5.0,12.0,5.0,Low
39.0,High School,6.0,Retail,Sales Associate,Large,Mid,31.0,80.0,32.0,Low,1.0,1.0,17.0,8.0,Medium
28.0,Bachelor's,5.0,Telecom,Operations Analyst,Medium,Mid,57.0,38.0,91.0,Medium,2.0,14.0,43.0,21.0,Medium
51.0,Bachelor's,9.0,Finance,Accountant,Large,Entry,30.0,68.0,81.0,Low,2.0,5.0,29.0,3.0,Medium
35.0,Bachelor's,8.0,Healthcare,Medical Assistant,Medium,Entry,49.0,38.0,89.0,Low,2.0,1.0,47.0,5.0,Medium
43.0,Bachelor's,12.0,Education,Academic Coordinator,Medium,Mid,79.0,8.0,37.0,Medium,2.0,5.0,62.0,10.0,High
38.0,Bachelor's,14.0,Healthcare,Medical Assistant,Large,Entry,85.0,15.0,33.0,Medium,3.0,11.0,47.0,8.0,High
21.0,Bachelor's,0.0,Manufacturing,Quality Engineer,Medium,Mid,90.0,9.0,53.0,Medium,3.0,9.0,45.0,5.0,High
49.0,Master's,10.0,Finance,Auditor,Small,Mid,75.0,33.0,80.0,Medium,5.0,14.0,59.0,23.0,Medium
32.0,Bachelor's,11.0,Logistics,Warehouse Manager,Small,Mid,20.0,67.0,47.0,Low,0.0,2.0,18.0,1.0,Low
35.0,Bachelor's,0.0,Logistics,Dispatcher,Small,Mid,10.0,84.0,30.0,Low,2.0,5.0,7.0,2.0,Low
21.0,Bachelor's,0.0,Healthcare,Health Analyst,Medium,Entry,88.0,0.0,25.0,Medium,3.0,9.0,76.0,20.0,High
47.0,Master's,2.0,Manufacturing,Production Supervisor,Large,Entry,74.0,33.0,26.0,Medium,5.0,14.0,35.0,29.0,High
26.0,Bachelor's,5.0,Education,Research Assistant,Medium,Entry,21.0,78.0,20.0,Low,2.0,1.0,11.0,9.0,Low
28.0,Bachelor's,7.0,Education,Research Assistant,Medium,Senior,49.0,46.0,69.0,Medium,2.0,11.0,34.0,25.0,Low
38.0,Bachelor's,11.0,Telecom,Network Engineer,Large,Mid,36.0,85.0,45.0,Low,0.0,2.0,17.0,7.0,Low
59.0,Master's,13.0,IT,Software Engineer,Large,Entry,88.0,0.0,75.0,Medium,3.0,10.0,77.0,6.0,High
22.0,Master's,1.0,Healthcare,Nurse,Large,Entry,27.0,81.0,85.0,Low,0.0,5.0,18.0,8.0,Low
25.0,Master's,4.0,Finance,Auditor,Large,Mid,15.0,100.0,77.0,Low,0.0,0.0,7.0,8.0,Low
51.0,Master's,9.0,Finance,Financial Analyst,Medium,Entry,88.0,20.0,27.0,High,6.0,17.0,60.0,31.0,High
50.0,High School,15.0,Logistics,Warehouse Manager,Small,Mid,23.0,68.0,35.0,Low,2.0,2.0,11.0,7.0,Medium
26.0,Master's,5.0,Retail,Inventory Analyst,Small,Mid,18.0,74.0,45.0,Low,0.0,1.0,13.0,0.0,Low
35.0,Master's,2.0,Retail,Store Manager,Medium,Mid,57.0,39.0,68.0,Medium,2.0,5.0,56.0,5.0,High
27.0,Master's,6.0,Healthcare,Health Analyst,Small,Entry,46.0,51.0,23.0,Low,1.0,2.0,44.0,9.0,Medium
26.0,Bachelor's,5.0,Telecom,Support Specialist,Medium,Senior,41.0,53.0,86.0,Low,2.0,5.0,40.0,6.0,Low
28.0,Master's,4.0,Finance,Accountant,Medium,Senior,53.0,31.0,63.0,Low,1.0,2.0,46.0,0.0,Low
46.0,Master's,12.0,Manufacturing,Production Supervisor,Medium,Mid,50.0,60.0,41.0,Low,1.0,2.0,23.0,9.0,Medium
39.0,High School,3.0,IT,ML Engineer,Large,Entry,75.0,22.0,51.0,Medium,3.0,6.0,74.0,13.0,High
53.0,Master's,13.0,Finance,Financial Analyst,Medium,Mid,34.0,60.0,74.0,Low,0.0,1.0,22.0,6.0,Low
53.0,Bachelor's,0.0,Education,Research Assistant,Large,Entry,87.0,2.0,91.0,Medium,4.0,5.0,79.0,23.0,High
37.0,Master's,16.0,IT,Software Engineer,Small,Senior,28.0,79.0,81.0,Low,0.0,2.0,23.0,4.0,Low
21.0,Master's,0.0,Education,Teacher,Medium,Senior,65.0,35.0,76.0,Medium,5.0,11.0,44.0,17.0,Low
46.0,Bachelor's,0.0,Logistics,Warehouse Manager,Medium,Entry,91.0,19.0,24.0,Medium,3.0,9.0,41.0,5.0,High
25.0,Bachelor's,4.0,Healthcare,Health Analyst,Small,Mid,65.0,24.0,21.0,Medium,5.0,12.0,47.0,21.0,Medium
41.0,Master's,9.0,Retail,Store Manager,Medium,Entry,37.0,67.0,68.0,Low,1.0,4.0,27.0,3.0,Medium
46.0,Master's,11.0,Manufacturing,Quality Engineer,Large,Senior,65.0,23.0,77.0,Medium,5.0,7.0,57.0,5.0,Medium
39.0,Bachelor's,14.0,Logistics,Dispatcher,Small,Mid,36.0,71.0,26.0,Low,1.0,1.0,19.0,0.0,Medium
58.0,Master's,9.0,Manufacturing,Production Supervisor,Small,Entry,32.0,59.0,52.0,Low,2.0,5.0,20.0,8.0,Medium
53.0,Bachelor's,8.0,Retail,Inventory Analyst,Large,Mid,74.0,27.0,65.0,Medium,2.0,14.0,57.0,26.0,High
29.0,Master's,8.0,Healthcare,Medical Assistant,Medium,Mid,75.0,26.0,94.0,Medium,2.0,11.0,44.0,21.0,Medium
29.0,Bachelor's,8.0,Retail,Store Manager,Medium,Mid,20.0,70.0,94.0,Low,2.0,4.0,11.0,8.0,Low
40.0,Bachelor's,6.0,IT,ML Engineer,Medium,Entry,23.0,79.0,61.0,Low,1.0,5.0,21.0,3.0,Low
48.0,Bachelor's,14.0,Finance,Accountant,Small,Entry,12.0,95.0,42.0,Low,0.0,5.0,8.0,5.0,Low
55.0,Bachelor's,10.0,IT,Software Engineer,Medium,Entry,77.0,19.0,62.0,Medium,3.0,10.0,47.0,19.0,High
32.0,Bachelor's,11.0,IT,Data Analyst,Medium,Entry,78.0,29.0,52.0,Medium,5.0,14.0,75.0,23.0,High
56.0,High School,10.0,Telecom,Operations Analyst,Large,Entry,12.0,81.0,86.0,Low,0.0,5.0,8.0,0.0,Low
58.0,Master's,2.0,Finance,Financial Analyst,Medium,Entry,83.0,6.0,51.0,Medium,3.0,12.0,76.0,22.0,High
37.0,PhD,4.0,Healthcare,Health Analyst,Small,Entry,34.0,62.0,45.0,Low,1.0,1.0,32.0,6.0,Low
22.0,Master's,1.0,Logistics,Supply Chain Analyst,Medium,Entry,51.0,44.0,60.0,Medium,5.0,5.0,26.0,17.0,Medium
50.0,High School,5.0,Retail,Inventory Analyst,Large,Mid,66.0,21.0,72.0,Medium,4.0,14.0,65.0,12.0,High
39.0,High School,16.0,Logistics,Dispatcher,Large,Senior,71.0,34.0,67.0,Medium,2.0,5.0,45.0,16.0,Medium
21.0,Master's,0.0,Education,Academic Coordinator,Medium,Mid,37.0,75.0,68.0,Low,0.0,2.0,32.0,0.0,Low
36.0,High School,4.0,Healthcare,Nurse,Small,Mid,74.0,21.0,68.0,Medium,4.0,7.0,54.0,14.0,High
37.0,Bachelor's,16.0,Logistics,Warehouse Manager,Small,Mid,33.0,80.0,54.0,Low,2.0,5.0,28.0,1.0,Low
56.0,Master's,15.0,Telecom,Network Engineer,Medium,Entry,21.0,96.0,91.0,Low,0.0,1.0,19.0,2.0,Low
42.0,High School,6.0,Finance,Accountant,Large,Mid,18.0,96.0,63.0,Low,2.0,0.0,13.0,9.0,Low
60.0,Bachelor's,13.0,Manufacturing,Production Supervisor,Medium,Entry,69.0,35.0,85.0,Medium,3.0,8.0,48.0,22.0,High
51.0,Master's,1.0,Finance,Financial Analyst,Medium,Mid,55.0,28.0,76.0,Medium,4.0,8.0,39.0,20.0,Medium
23.0,Bachelor's,2.0,Retail,Store Manager,Large,Mid,56.0,55.0,88.0,Low,1.0,2.0,50.0,6.0,High
32.0,Bachelor's,7.0,Education,Teacher,Small,Senior,54.0,26.0,84.0,Medium,2.0,10.0,26.0,13.0,Low
42.0,Bachelor's,13.0,Retail,Sales Associate,Medium,Entry,73.0,31.0,81.0,Medium,2.0,6.0,36.0,14.0,High
50.0,Master's,15.0,Manufacturing,Quality Engineer,Small,Mid,43.0,50.0,55.0,Low,1.0,5.0,24.0,5.0,Medium
55.0,Master's,12.0,Education,Teacher,Medium,Entry,41.0,null,94.0,Medium,5.0,14.0,21.0,12.0,Low
27.0,Bachelor's,6.0,Healthcare,Medical Assistant,Medium,Entry,79.0,17.0,56.0,Low,2.0,0.0,46.0,6.0,High
30.0,Bachelor's,9.0,Finance,Auditor,Small,Entry,25.0,66.0,46.0,Low,0.0,2.0,13.0,8.0,Medium
27.0,High School,0.0,Retail,Inventory Analyst,Large,Entry,82.0,16.0,67.0,Medium,5.0,14.0,58.0,7.0,High
37.0,Bachelor's,12.0,Manufacturing,Quality Engineer,Medium,Mid,47.0,58.0,77.0,Low,0.0,1.0,43.0,0.0,Medium
49.0,Master's,22.0,IT,ML Engineer,Small,Mid,94.0,11.0,68.0,High,10.0,28.0,81.0,43.0,High
28.0,Master's,7.0,Finance,Auditor,Small,Entry,78.0,11.0,31.0,Medium,3.0,12.0,77.0,9.0,High
31.0,High School,9.0,Logistics,Warehouse Manager,Medium,Mid,32.0,69.0,57.0,Medium,4.0,14.0,23.0,15.0,Medium
37.0,High School,5.0,IT,Software Engineer,Small,Entry,87.0,17.0,42.0,Medium,4.0,11.0,84.0,10.0,High
21.0,Master's,0.0,Education,Academic Coordinator,Small,Mid,90.0,1.0,63.0,Medium,4.0,10.0,79.0,9.0,High
36.0,Master's,11.0,Manufacturing,Production Supervisor,Medium,Entry,84.0,21.0,76.0,Medium,4.0,11.0,38.0,16.0,High
47.0,High School,9.0,Education,Teacher,Large,Mid,91.0,12.0,75.0,Medium,4.0,9.0,45.0,7.0,High
58.0,Bachelor's,0.0,Healthcare,Nurse,Medium,Entry,64.0,36.0,67.0,Medium,5.0,10.0,34.0,21.0,Medium
26.0,Master's,5.0,Education,Research Assistant,Medium,Mid,61.0,36.0,22.0,Medium,3.0,9.0,50.0,28.0,Medium
52.0,Bachelor's,5.0,IT,Software Engineer,Large,Entry,34.0,57.0,65.0,Low,2.0,1.0,30.0,2.0,Medium
55.0,Bachelor's,10.0,Logistics,Supply Chain Analyst,Large,Mid,80.0,16.0,85.0,Medium,5.0,13.0,48.0,29.0,High
36.0,Bachelor's,9.0,IT,Data Analyst,Small,Senior,28.0,66.0,56.0,Low,2.0,5.0,27.0,0.0,Low
53.0,Bachelor's,13.0,Finance,Financial Analyst,Small,Entry,58.0,56.0,63.0,Medium,4.0,5.0,50.0,18.0,High
24.0,Master's,3.0,Finance,Auditor,Small,Entry,15.0,82.0,88.0,Low,0.0,1.0,10.0,6.0,Low
39.0,Bachelor's,12.0,Logistics,Supply Chain Analyst,Medium,Senior,63.0,39.0,86.0,Low,1.0,1.0,55.0,0.0,Medium
50.0,Bachelor's,8.0,Manufacturing,Operator,Medium,Mid,59.0,38.0,59.0,Medium,4.0,7.0,47.0,27.0,High
34.0,Bachelor's,13.0,IT,Software Engineer,Medium,Senior,78.0,27.0,48.0,Medium,2.0,10.0,40.0,8.0,Medium
42.0,High School,2.0,IT,Data Analyst,Large,Mid,49.0,65.0,64.0,Medium,4.0,9.0,22.0,12.0,Medium
42.0,PhD,18.0,Retail,Inventory Analyst,Small,Entry,39.0,63.0,39.0,Low,2.0,1.0,22.0,6.0,Low
53.0,Bachelor's,7.0,Education,Academic Coordinator,Small,Entry,46.0,66.0,44.0,Low,0.0,3.0,45.0,6.0,Medium
49.0,Master's,20.0,Logistics,Warehouse Manager,Large,Mid,85.0,10.0,21.0,Medium,5.0,6.0,66.0,25.0,High
37.0,Master's,14.0,Retail,Store Manager,Small,Senior,54.0,47.0,83.0,Low,2.0,5.0,49.0,4.0,Low
39.0,High School,4.0,IT,Software Engineer,Medium,Mid,14.0,100.0,76.0,Low,1.0,2.0,12.0,9.0,Low
34.0,High School,5.0,Retail,Inventory Analyst,Small,Entry,50.0,32.0,64.0,Low,2.0,5.0,23.0,5.0,High
30.0,High School,9.0,Telecom,Operations Analyst,Medium,Mid,13.0,93.0,79.0,Low,1.0,3.0,10.0,5.0,Low
34.0,Bachelor's,0.0,IT,ML Engineer,Medium,Entry,64.0,14.0,50.0,Medium,2.0,12.0,38.0,19.0,High
41.0,Bachelor's,11.0,Logistics,Supply Chain Analyst,Large,Entry,42.0,46.0,85.0,Low,1.0,3.0,24.0,2.0,Medium
38.0,Bachelor's,0.0,Telecom,Support Specialist,Medium,Entry,76.0,11.0,28.0,Medium,3.0,7.0,57.0,29.0,High
23.0,Master's,2.0,Healthcare,Medical Assistant,Large,Mid,76.0,16.0,78.0,Low,0.0,5.0,50.0,5.0,Medium
